NodeID,MetadataMonth,ChronMonth
node_2025489,2022-10,2022-10
node_1461139,2022-11,2022-10
node_2136944,2022-09,2022-09
node_1979575,2022-09,2022-09
node_2060799,2022-07,2022-06
node_1914256,2022-05,2022-06
node_1914323,2022-08,2022-07
node_941776,2022-03,2022-04
node_941780,2022-05,2022-05
node_941781,2022-05,2022-05
node_1440811,2022-01,2022-06
node_2065830,2022-10,2022-08
node_2049905,2022-11,2022-10
node_1710999,2022-11,2022-09
node_2060057,2022-09,2022-09
node_2003986,2022-09,2022-08
node_2114125,2022-08,2022-07
node_2143258,2022-09,2022-08
node_2004445,2022-08,2022-08
node_2054062,2022-09,2022-09
node_2113950,2022-06,2022-06
node_928323,2022-08,2022-07
node_2067026,2022-09,2022-09
node_2160868,2022-08,2022-08
node_1892248,2022-10,2022-10
node_2148992,2022-07,2022-07
node_928325,2022-08,2022-08
node_1440809,2022-01,2022-06
node_1584733,2022-07,2022-07
node_1812202,2022-10,2022-10
node_2186617,2022-09,2022-09
node_2067005,2022-08,2022-08
node_2255456,2022-02,2022-02
node_1362197,2022-10,2022-07
node_1814758,2022-06,2022-06
node_977848,2022-11,2022-09
node_1939578,2022-11,2022-10
node_2192015,2022-10,2022-10
node_2005193,2022-09,2022-08
node_1780258,2022-10,2022-10
node_227128,2022-11,2022-07
node_2031358,2022-08,2022-07
node_2003599,2022-10,2022-10
node_2065612,2022-09,2022-08
node_2065747,2022-08,2022-07
node_2042573,2022-08,2022-08
node_2136314,2022-09,2022-07
node_2136576,2022-09,2022-08
node_2191466,2022-09,2022-09
node_2110232,2022-05,2022-05
node_2066169,2022-07,2022-07
node_1882003,2022-06,2022-07
node_2066892,2022-09,2022-09
node_1437692,2022-09,2022-08
node_2124567,2022-10,2022-09
node_2163203,2022-10,2022-10
node_2136569,2022-08,2022-08
node_1573818,2022-10,2022-10
node_2030177,2022-10,2022-10
node_2011634,2022-07,2022-06
node_2170699,2022-07,2022-07
node_1917980,2022-09,2022-08
node_1800786,2022-09,2022-09
node_2005491,2022-08,2022-08
node_1780276,2022-10,2022-10
node_1811432,2022-10,2022-08
node_1992520,2022-06,2022-06
node_2059993,2022-09,2022-09
node_1628838,2022-10,2022-09
node_1981029,2022-10,2022-10
node_2135556,2022-10,2022-10
node_1509017,2022-07,2022-06
node_1508657,2022-05,2022-06
node_1814846,2022-09,2022-09
node_2114860,2022-09,2022-09
node_2136309,2022-07,2022-06
node_1601397,2022-09,2022-09
node_1556794,2022-07,2022-07
node_2114233,2022-06,2022-06
node_977828,2022-05,2022-04
node_1986867,2022-09,2022-09
node_1579071,2022-09,2022-08
node_2229629,2022-06,2022-06
node_1738687,2022-10,2022-09
node_959571,2022-10,2022-09
node_2065980,2022-10,2022-08
node_2041620,2022-09,2022-09
node_2063675,2022-10,2022-10
node_1744422,2022-09,2022-09
node_1583734,2022-10,2022-10
node_1609146,2022-08,2022-07
node_1376436,2021-04,2022-03
node_1882002,2022-06,2022-06
node_1790855,2022-09,2022-08
node_2229631,2022-06,2022-06
node_2136313,2022-07,2022-06
node_1790463,2022-08,2022-08
node_1605473,2022-09,2022-08
node_1762341,2022-09,2022-09
node_2121638,2022-09,2022-09
node_1436501,2022-08,2022-08
node_1583818,2022-08,2022-08
node_2158931,2022-08,2022-08
node_1436502,2022-08,2022-08
node_2109179,2022-08,2022-08
node_2004505,2022-08,2022-08
node_1814766,2022-06,2022-06
node_1574365,2022-10,2022-09
node_2103499,2022-08,2022-07
node_2166195,2022-08,2022-08
node_1583142,2022-09,2022-07
node_2169961,2022-09,2022-09
node_2142930,2022-09,2022-09
node_2136318,2022-09,2022-08
node_1814768,2022-06,2022-06
node_2192907,2022-07,2022-06
node_1902830,2022-07,2022-07
node_1814769,2022-06,2022-06
node_2065963,2022-10,2022-09
node_1957005,2022-10,2022-09
node_2178017,2022-10,2022-09
node_1583143,2022-09,2022-08
node_2008994,2022-08,2022-08
node_2102759,2022-08,2022-08
node_1003410,2022-04,2022-03
node_928334,2022-08,2022-08
node_2178134,2022-07,2022-07
node_2110216,2022-06,2022-07
node_1929538,2022-09,2022-09
node_1856760,2022-09,2022-09
node_2055692,2022-07,2022-07
node_2066931,2022-09,2022-08
node_2084520,2022-08,2022-08
node_2184618,2022-09,2022-09
node_1917981,2022-09,2022-09
node_1909908,2022-09,2022-09
node_1798234,2022-09,2022-09
node_1003331,2022-01,2022-02
node_1556793,2022-07,2022-06
node_928320,2022-07,2022-06
node_2229628,2022-06,2022-05
node_2255455,2022-02,2022-01
node_977822,2022-03,2022-03
node_977826,2022-05,2022-04
node_1802253,2022-08,2022-08
node_2073542,2022-05,2022-05
node_1587455,2022-06,2022-06
node_1759062,2022-06,2022-06
node_1377966,2022-09,2022-08
node_1744495,2022-09,2022-08
node_2127987,2022-09,2022-09
node_1580524,2022-09,2022-09
node_1789035,2022-08,2022-08
node_1998945,2022-06,2022-06
node_2004335,2022-09,2022-08
node_2159371,2022-09,2022-08
node_2030487,2022-09,2022-09
node_1760507,2022-09,2022-09
node_1572378,2022-08,2022-08
node_1517866,2022-05,2022-05
node_2005198,2022-08,2022-08
